Rachel Booker,Rachel.Booker@augmenthor.com,admin
Laura Grey,Laura.Grey@augmenthor.com,read_only_user
Craig Johnson,Craig.Johnson@augmenthor.com,read_only_limited_user
Lenna	Paprocki,Lenna.Paprocki@augmenthor.com,read_only_user
Donette	Foller,Donette.Foller@augmenthor.com,observer
Simona	Morasca,Simona.Morasca@augmenthor.com,limited_user
Mitsue	Tollner,Mitsue.Tollner@augmenthor.com,team_responder
Leota	Dilliard,Leota.Dilliard@augmenthor.com,restricted_access
Sage	Wieser,Sage.Wieser@augmenthor.com,team_responder
Kris	Marrier,Kris.Marrier@augmenthor.com,read_only_limited_user
Minna	Amigon,Minna.Amigon@augmenthor.com,observer
Abel	Maclead,Abel.Maclead@augmenthor.com,limited_user
Kiley	Caldarera,Kiley.Caldarera@augmenthor.com,admin
Graciela	Ruta,Graciela.Ruta@augmenthor.com,observer
Cammy	Albares,Cammy.Albares@augmenthor.com,team_responder
Mattie	Poquette,Mattie.Poquette@augmenthor.com,team_responder
Meaghan	Garufi,Meaghan.Garufi@augmenthor.com,limited_user
Gladys	Rim,Gladys.Rim@augmenthor.com,observer
Yuki	Whobrey,Yuki.Whobrey@augmenthor.com,team_responder
Fletcher	Flosi,Fletcher.Flosi@augmenthor.com,team_responder
Bette	Nicka,Bette.Nicka@augmenthor.com,observer
Veronika	Inouye,Veronika.Inouye@augmenthor.com,read_only_limited_user
Willard	Kolmetz,Willard.Kolmetz@augmenthor.com,team_responder
Maryann	Royster,Maryann.Royster@augmenthor.com,read_only_user
Alisha	Slusarski,Alisha.Slusarski@augmenthor.com,limited_user
Allene	Iturbide,Allene.Iturbide@augmenthor.com,read_only_user
Chanel	Caudy,Chanel.Caudy@augmenthor.com,read_only_limited_user
Ezekiel	Chui,Ezekiel.Chui@augmenthor.com,admin
Willow	Kusko,Willow.Kusko@augmenthor.com,observer
Bernardo	Figeroa,Bernardo.Figeroa@augmenthor.com,observer
Ammie	Corrio,Ammie.Corrio@augmenthor.com,observer
Francine	Vocelka,Francine.Vocelka@augmenthor.com,read_only_user
Ernie	Stenseth,Ernie.Stenseth@augmenthor.com,observer
Albina	Glick,lbina.Glick@augmenthor.com,team_responder
Alishia	Sergi,lishia.Sergi@augmenthor.com,observer
Solange	Shinko,Solange.Shinko@augmenthor.com,read_only_limited_user
Jose	Stockham,Jose.Stockham@augmenthor.com,observer
Rozella	Ostrosky,Rozella.Ostrosky@augmenthor.com,read_only_user
Valentine	Gillian,Valentine.Gillian@augmenthor.com,read_only_user
Kati	Rulapaugh,Kati.Rulapaugh@augmenthor.com,observer
Youlanda	Schemmer,Youlanda.Schemmer@augmenthor.com,read_only_limited_user
Dyan	Oldroyd,Dyan.Oldroyd@augmenthor.com,observer
Roxane	Campain,Roxane.Campain@augmenthor.com,limited_user
Lavera	Perin,Lavera.Perin@augmenthor.com,read_only_limited_user
Erick	Ferencz,Erick.Ferencz@augmenthor.com,observer
Fatima	Saylors,Fatima.Saylors@augmenthor.com,team_responder
Jina	Briddick,Jina.Briddick@augmenthor.com,observerπ
Kanisha	Waycott,Kanisha.Waycott@augmenthor.com,team_responder
Emerson	Bowley,Emerson.Bowley@augmenthor.com,limited_user
Blair	Malet,Blair.Malet@augmenthor.com,observer
